# Window title
knights                         Knights


# Title screen
knights_caps                    KNIGHTS
start_game                      Start Game
tutorial                        Tutorial
options                         Options
credits                         Credits
quit                            Quit


# Start Game screen
start_game_caps                 START GAME
online_multiplayer              Online Multiplayer
lan_games                       LAN Games
split_screen_mode               Split Screen Mode
single_player_mode              Single Player Mode
cancel                          Cancel


# Online Multiplayer screen
online_multiplayer_games        Online Multiplayer Games
avail_games_click_to_join       Available Games (double-click to join):
show_incompat_games             Show incompatible games
host                            Host
players                         Players
status                          Status
create_new_game                 Create New Game
refresh_list                    Refresh List


# LAN Games screen
player_name_colon               Player Name:
address                         Address
connect                         Connect
back                            Back
cannot_autodetect_lan           Cannot autodetect LAN games.
please_enter_address            Please enter address manually below.
you_must_enter_player_name      You must enter a player name
you_must_enter_address          You must enter an address to connect to


# Game statuses (for game list screens)
unknown           Unknown
selecting_quest   Selecting Quest
playing_x         Playing ({0})


# Options screen
controls                        Controls
show_controls_for               Show controls for:
lan_single                      Normal Games (Single player, LAN)
online_lan_single               Normal Games (Single player, LAN, Online)
two_player_split                Split Screen Games
control_system                  Control system:
player_n                        Player {0}
new_control_system              New control system (Mouse + Keyboard)
original_amiga_controls         Original Amiga controls (Keyboard only)
control_keys                    Control keys:
chat_keys                       Chat keys:
up_caps                         UP
down_caps                       DOWN
left_caps                       LEFT
right_caps                      RIGHT
action_caps                     ACTION
suicide_caps                    SUICIDE
global_chat_caps                GLOBAL CHAT
team_chat_caps                  TEAM CHAT
up_colon                        Up:
down_colon                      Down:
left_colon                      Left:
right_colon                     Right:
action_colon                    Action:
suicide_colon                   Suicide:
global_colon                    Global:
team_colon                      Team:
change                          Change
press                           <Press>
please_press_key_for            ** Please press a key for {0} **
key_in_use                      Key already in use. Please choose another key.
other_options                   Other Options
display_mode                    Display Mode:
windowed                        Windowed
full_screen                     Full Screen
graphics_scaling                Graphics Scaling:
scale2x                         Scale2x
pixelated                       Pixelated
allow_fractional_scaling        Allow Fractional Scaling
ok                              OK
restore_defaults                Restore Defaults


# Connecting screen
connecting_to                   Connecting to {0}...
connecting_to_alt               Connecting to {1} ({0})...


# Error screen
exit                            Exit


# Loading screen
loading                         LOADING


# Quest selection menu
random_quest                    Random Quest
change_house_colour             Change Knight House Colour:
knights_of_same_colour          (Knights of the same House Colour play on the same team.)
type_here_to_chat               Type here to chat
ready_to_start                  Ready to Start
invite_friend                   Invite Friend
observe                         Observe
join_game                       Join Game
you_are_observing               You are observing this game. Click "Join Game" if you wish to play.
start                           Start


# In-game screen
player                          Player
score                           Score
kills                           Kills
deaths                          Deaths
ping                            Ping
quest_requirements              Quest Requirements
click_to_show                   (click to show)
press_esc_for_more              Press ESC for more info & options
messages                        Messages
click_here_to_chat              <Click here or press {0} or {1} to chat>
send                            Send
clear                           Clear
time_remaining                  Time remaining: {0}
click_mouse                     CLICK MOUSE TO CONTINUE


# Some tutorial messages
note                            NOTE
tutorial_note_1                 You have selected old-style controls (keyboard only).
tutorial_note_2                 This tutorial is written for people who use the new-style controls (mouse and keyboard). However, it is perfectly playable using either set of controls.
